ROLL_BAD,PITCH_BAD,ROLL_FILTERED,PITCH_FILTERED,,
-29.85,41.78,-7.56,71.35,,
-31.34,39.21,-7.79,69.53,,
-32.12,36.98,-7.69,67.68,,
-32.45,34.71,-7.24,65.92,,
-32.4,32.52,-6.52,64.14,,
-32.02,30.53,-5.46,62.07,,
-30.8,27.48,-3.93,59.72,,
-29.32,25.14,-1.85,57.28,,
-27.31,22.75,0.84,55.04,,
-23.43,19.31,3.99,53.19,,
-20.28,17.34,6.94,51.51,,
-16.85,15.64,9.64,49.8,,
-13.91,14.08,12.19,47.59,,
-11.3,12.47,14.58,45.05,,
-7.34,9.06,16.79,42.7,,
-4.95,6.61,18.96,40.71,,
-2.71,4.52,21.25,38.75,,
-0.46,2.8,23.55,36.65,,
3.17,0.1,25.87,34.55,,
5.68,-1.94,27.71,32.68,,
8,-3.78,29.35,31.06,,
9.74,-5.3,31.02,29.53,,
11.46,-6.64,32.5,27.85,,
14.09,-8.64,33.56,26.12,,
15.53,-10.24,34.58,24.49,,
16.64,-11.77,35.43,23,,
17.79,-13.12,36.15,21.57,,
18.77,-14.33,36.69,20.24,,
19.97,-16.11,37.2,19.21,,
20.63,-17.16,37.59,18.24,,
21.23,-17.95,37.89,17.06,,
21.85,-19.31,37.99,15.84,,
22.12,-20.58,38.23,14.89,,
22.25,-21.71,38.7,14.2,,
22.6,-22.53,39.35,13.71,,
23.19,-23.07,39.71,13.31,,
24.15,-23.69,39.58,13.01,,
24.26,-24.02,39.26,12.71,,
23.89,-24.28,39.05,12.44,,
23.42,-24.61,39.05,12.32,,
23.02,-25.07,39.2,12.36,,
22.99,-25.16,39.3,12.54,,
22.99,-25.12,39.41,12.89,,
22.81,-24.86,39.57,13.33,,
22.73,-24.57,39.8,13.8,,
22.69,-24.21,40.08,14.22,,
22.77,-23.82,40.45,14.68,,
22.95,-23.31,41.1,15.29,,
23.2,-22.95,42.04,16.09,,
23.71,-22.47,43.18,16.96,,
24.47,-21.85,44.46,17.7,,
26.01,-20.84,45.83,18.17,,
27.19,-20.41,46.95,18.43,,
28.43,-20.26,47.62,18.66,,
29.35,-20.26,48.04,19.02,,
29.95,-20.14,48.6,19.66,,
30.26,-19.74,49.22,20.46,,
30.8,-19.06,49.54,21.33,,
31.49,-17.85,49.64,22.22,,
31.56,-17.01,49.51,23.06,,
31.51,-16.18,49.14,23.96,,
31.22,-15.37,48.69,24.89,,
30.45,-14.18,48.24,25.8,,
29.92,-13.37,47.82,26.72,,
29.41,-12.61,47.36,27.74,,
28.95,-11.84,46.75,28.82,,
28.09,-10.55,46.07,29.88,,
27.36,-9.67,45.41,31.01,,
26.64,-8.81,44.84,32.33,,
25.98,-7.83,44.15,33.84,,
25.15,-5.98,43.01,35.32,,
24.28,-4.6,41.81,36.76,,
23.09,-3.26,40.65,38.15,,
21.97,-1.88,39.57,39.59,,
20.47,0.1,38.48,41.07,,
19.54,1.51,37.38,42.52,,
18.67,2.86,36.36,43.83,,
17.87,4.17,35.31,45.06,,
16.7,6.09,34.29,46.37,,
15.82,7.44,33.13,47.71,,
15.01,8.89,31.85,48.98,,
13.97,10.44,30.57,49.97,,
12.3,12.48,29.34,50.63,,
11.16,13.5,28.02,51.18,,
9.93,14.33,26.48,51.9,,
8.54,15.14,24.97,52.81,,
6.06,16.78,23.49,53.66,,
4.41,18.04,21.79,54.31,,
2.66,19.08,19.92,54.8,,
0.53,19.9,18,55.08,,
-1.85,20.5,16.16,55.25,,
-5.54,20.96,14.51,55.32,,
-7.8,21.12,12.87,55.19,,
-9.83,21.16,10.96,54.88,,
-12.92,20.8,8.7,54.49,,
-15.41,20.35,6.44,54.08,,
-18.24,19.78,4.55,53.67,,
-20.83,19.13,3.03,53.43,,
-23.84,18.15,1.44,53.38,,
-25.63,17.7,-0.49,53.35,,
-27.52,17.43,-2.66,53.14,,
-29.82,17.11,-4.96,52.8,,
-32.17,16.59,-7.21,52.42,,
-35.87,15.55,-9.21,51.94,,
-38.16,14.8,-11.11,51.41,,
-40.08,13.97,-13.09,50.91,,
-42,13.09,-15.18,50.5,,
-45.03,11.9,-17.35,50.09,,
-47.21,11.19,-19.53,49.54,,
-49.42,10.4,-22.07,48.84,,
-51.6,9.56,-24.93,47.99,,
-55.46,8.28,-27.75,47.03,,
-58.38,7.32,-30.42,46.06,,
-61,6.38,-33.21,45.08,,
-63.5,5.54,-35.88,44.16,,
-66.15,4.79,-38.03,43.26,,
-69.72,3.99,-39.36,42.44,,
-71.26,3.71,-39.74,41.66,,
-72.04,3.58,-39.21,41.03,,
-71.56,3.52,-37.77,40.6,,
-70.19,3.46,-35.7,40.35,,
-68.09,3.32,-33.22,40.24,,
-65.58,3.19,-30.45,40.28,,
-62.78,3.15,-27.61,40.34,,
-58.21,3.37,-24.81,40.21,,
-55.19,3.42,-22.09,39.87,,
-52.27,3.32,-19.43,39.42,,
-48.02,3.12,-17.02,38.99,,
-45.26,3.1,-15.05,38.64,,
-42.8,3.18,-13.39,38.39,,
-40.79,3.32,-11.87,38.22,,
-39.06,3.45,-10.47,38.05,,
-37.41,3.59,-9.05,37.76,,
-35.09,3.74,-7.5,37.25,,
-33.47,3.66,-5.73,36.64,,
-31.63,3.4,-3.89,36,,
-28.6,2.86,-2.19,35.33,,
-26.62,2.44,-0.55,34.75,,
-24.76,2.01,1.08,34.29,,
-23.02,1.66,2.92,33.91,,
-20.23,1.24,5.1,33.54,,
-18.03,0.98,7.57,33.06,,
-15.5,0.64,10.3,32.49,,
-12.84,0.2,13.11,31.88,,
-9.82,-0.31,15.8,31.27,,
-5.38,-1.09,18.13,30.78,,
-2.64,-1.54,20.31,30.48,,
-0.3,-1.85,22.28,30.3,,
1.97,-1.95,23.92,30.04,,
4.85,-1.98,25.21,29.61,,
6.45,-2.17,26.38,29.22,,
7.75,-2.48,27.58,28.86,,
9.01,-2.69,28.82,28.38,,
11.04,-2.99,29.98,27.83,,
12.34,-3.32,31.16,27.34,,
13.62,-3.69,32.35,26.96,,
15.57,-4.06,33.47,26.67,,
16.86,-4.19,34.68,26.47,,
18.13,-4.19,35.82,26.26,,
19.47,-4.14,36.96,26.04,,
20.69,-4.14,38.1,25.91,,
22.53,-4.14,39.31,25.86,,
23.8,-4.05,40.7,25.84,,
25.17,-3.9,42.11,25.83,,
27.44,-3.65,43.46,25.8,,
28.95,-3.51,44.73,25.77,,
30.39,-3.39,45.75,25.7,,
31.66,-3.3,46.53,25.6,,
33.12,-3.26,46.97,25.49,,
33.8,-3.26,47.11,25.45,,
34.14,-3.26,47.11,25.54,,
34.24,-3.12,47.01,25.59,,
34.28,-2.86,46.91,25.58,,
34.2,-2.56,46.73,25.59,,
34.17,-2.41,46.22,25.74,,
33.95,-2.25,45.5,25.98,,
33.12,-1.79,44.77,26.14,,
32.4,-1.4,44.02,26.15,,
31.74,-1.11,43.08,26.07,,
31.02,-0.99,41.82,26.13,,
29.53,-0.88,40.4,26.31,,
28.17,-0.64,39.06,26.47,,
26.78,-0.32,37.8,26.62,,
25.55,-0.03,36.61,26.84,,
23.83,0.38,35.47,27.13,,
22.75,0.71,34.38,27.42,,
21.73,1.08,33.33,27.69,,
20.76,1.44,32.23,27.96,,
19.81,1.78,31.07,28.32,,
18.25,2.28,30.04,28.74,,
17.23,2.71,29,29.05,,
16.39,3.11,27.94,29.34,,
15.46,3.41,26.92,29.69,,
14.05,3.93,25.92,30.21,,
13.17,4.38,24.93,30.86,,
12.33,5,23.9,31.49,,
11.5,5.71,22.79,32.06,,
10.15,6.69,21.71,32.75,,
9.17,7.31,20.75,33.57,,
8.32,8.07,19.84,34.33,,
7.32,9.36,18.77,34.94,,
6.57,10.1,17.53,35.56,,
5.57,10.76,16.23,36.27,,
4.45,11.5,14.73,37.03,,
3.27,12.34,13.13,37.82,,
1.11,13.69,11.6,38.67,,
-0.35,14.61,10.19,39.48,,
-1.76,15.62,8.86,40.18,,
-3.05,16.55,7.51,40.83,,
-4.92,17.71,6.04,41.51,,
-6.31,18.48,4.71,42.2,,
-7.76,19.29,3.78,42.87,,
-8.98,20.09,3.04,43.45,,
-10.19,21.17,2.3,43.9,,
-10.94,21.75,1.64,44.24,,
-11.72,22.22,1.09,44.46,,
-12.38,22.59,0.51,44.63,,
-13.29,22.94,-0.23,44.81,,
-14.05,23.14,-1.22,44.97,,
-15.01,23.34,-2.38,45.08,,
-16.24,23.49,-3.52,45.15,,
-18.38,23.51,-4.52,45.18,,
-19.77,23.4,-5.4,45.14,,
-21.09,23.22,-6.14,44.93,,
-22.27,22.93,-6.75,44.47,,
-23.79,22.09,-7.23,43.78,,
-24.65,21.18,-7.44,42.95,,
-25.27,20.12,-7.49,42.07,,
-25.59,19.01,-7.43,41.12,,
-25.77,17.85,-7.26,40.03,,
-25.74,16.09,-7.06,38.76,,
-25.57,14.7,-6.96,37.46,,
-25.41,13.25,-6.99,36.11,,
-25.36,11.86,-6.74,34.51,,
-25.32,9.71,-5.89,32.73,,
-24.71,7.98,-4.56,30.93,,
-23.51,6.24,-2.85,29.14,,
-21.88,4.57,-0.85,27.46,,
-18.91,2.23,1.07,25.85,,
-16.76,0.77,2.65,24.25,,
-14.86,-0.67,4.1,22.67,,
-13.33,-2.14,5.55,21.04,,
-11.17,-4.24,7.24,19.39,,
-9.56,-5.73,9.12,17.8,,
-7.64,-7.25,10.84,16.29,,
-5.64,-8.7,12.08,14.69,,
-4.01,-10.06,12.97,13.02,,
-2.49,-12.32,13.94,11.38,,
-1.65,-13.88,15.08,9.7,,
-0.56,-15.41,16.05,8.1,,
0.63,-16.95,16.86,6.77,,
2.02,-19.04,17.92,5.76,,
3.02,-20.07,18.98,4.79,,
4.32,-20.87,19.87,3.69,,
5.53,-21.71,20.77,2.58,,
7.12,-23.17,21.6,1.51,,
8.23,-24.11,22.36,0.47,,
9.27,-25.01,22.89,-0.65,,
10.18,-25.91,23.15,-1.83,,
10.82,-26.89,23.32,-3.03,,
11.32,-28.53,23.23,-4.23,,
11.54,-29.63,22.95,-5.37,,
11.47,-30.69,22.82,-6.42,,
11.29,-32.13,22.8,-7.43,,
11.48,-33.01,22.67,-8.34,,
11.68,-33.83,22.43,-9.18,,
11.7,-34.6,22.21,-9.9,,
11.58,-35.58,22.21,-10.53,,
11.63,-36.09,22.39,-11.14,,
11.97,-36.54,22.54,-11.65,,
12.43,-36.97,22.53,-11.92,,
12.81,-37.39,22.41,-11.98,,
12.78,-37.39,22.32,-11.91,,
12.71,-37.26,22.39,-11.65,,
12.66,-36.85,22.52,-11.29,,
12.76,-36.41,22.48,-10.79,,
12.74,-35.95,22.59,-10.04,,
12.52,-35.33,22.92,-9.17,,
12.54,-34.02,23.24,-8.31,,
12.78,-33.07,23.14,-7.35,,
12.77,-32.23,22.89,-6.09,,
12.24,-31.24,22.67,-4.7,,
11.33,-29.24,22.21,-3.29,,
10.74,-27.84,21.55,-1.78,,
9.89,-26.45,21.06,-0.13,,
8.93,-24.93,20.78,1.41,,
8.04,-22.44,20.35,2.56,,
7.65,-21.02,19.5,3.52,,
6.97,-20.01,18.84,4.75,,
5.9,-19.03,19.03,6.2,,
5.29,-16.96,19.34,7.58,,
5.83,-15.39,19.13,8.77,,
6.07,-14.04,18.55,9.97,,
5.68,-12.85,18.31,11.46,,
4.9,-10.82,18.5,13.05,,
5.06,-9.05,18.52,14.47,,
5.42,-7.43,18.11,15.7,,
5.41,-6,17.82,16.81,,
4.83,-4.15,17.75,17.72,,
4.76,-3.02,17.61,18.48,,
4.82,-2.12,17.36,19.28,,
4.73,-1.3,17.11,20.28,,
4.45,0.12,16.98,21.47,,
4.33,1.34,16.99,22.71,,
4.35,2.74,16.96,23.83,,
4.46,4.08,16.74,24.83,,
4.49,5.24,16.13,25.84,,
4.09,6.85,15.27,26.9,,
3.3,8,14.69,27.99,,
2.48,9.18,14.51,29.04,,
2.1,10.36,14.22,30.03,,
2,12.04,13.83,31.02,,
1.67,13.1,13.42,32.03,,
1.31,14.18,12.91,33.08,,
0.83,15.81,12.3,34.1,,
0.37,16.93,11.79,35.12,,
-0.17,18.07,11.38,36.12,,
-0.59,19.17,10.96,37.15,,
-1.18,20.76,10.53,38.09,,
-1.63,21.87,10.18,39,,
-1.98,22.85,9.81,40.01,,
-2.22,23.82,9.41,41.14,,
-2.64,25.51,8.99,42.34,,
-3.01,26.76,8.5,43.57,,
-3.5,28.04,7.86,44.71,,
-4.14,29.33,7.02,45.7,,
-5.43,31.04,6.02,46.52,,
-6.57,31.98,5.03,47.2,,
-7.84,32.77,4.1,47.69,,
-9.76,33.64,2.97,47.91,,
-11.14,33.96,1.64,47.91,,
-12.81,33.99,0.2,47.78,,
-14.65,33.82,-1.23,47.57,,
-16.59,33.5,-2.71,47.35,,
-19.63,32.82,-4.38,47.15,,
-22.01,32.21,-6.17,46.94,,
-24.61,31.54,-7.86,46.7,,
-27.13,30.84,-9.51,46.39,,
-30.65,29.61,-11.29,45.89,,
-33,28.65,-13.12,45.15,,
-35.3,27.47,-14.85,44.34,,
-37.54,26.03,-16.46,43.52,,
-40.49,23.85,-18.08,42.6,,
-42.29,22.36,-19.85,41.68,,
-44.15,20.75,-21.7,40.77,,
-46.13,19.17,-23.52,39.86,,
-49.05,16.85,-25.38,38.9,,
-50.94,15.28,-27.48,37.87,,
-52.89,13.71,-29.67,36.75,,
-55.03,12.18,-31.81,35.65,,
-58.19,9.87,-33.78,34.7,,
-60.22,8.32,-35.43,33.88,,
-61.97,6.94,-36.7,33.2,,
-63.45,5.59,-37.72,32.62,,
-65.01,3.83,-38.61,31.99,,
-65.85,2.69,-39.32,31.2,,
-66.59,1.48,-39.78,30.21,,
-67.15,0.21,-40.04,29.14,,
-67.48,-1.07,-40.17,28.05,,
-67.66,-2.81,-40.22,26.94,,
-67.67,-3.77,-40.19,25.74,,
-67.64,-4.63,-40.01,24.33,,
-67.5,-5.84,-39.43,22.77,,
-67.14,-6.72,-38.52,21.37,,
-66.36,-7.61,-37.61,20.48,,
-65.33,-8.31,-36.88,20.15,,
-64.34,-8.69,-36.08,20.17,,
-63.1,-8.76,-35.09,20.06,,
-61.96,-8.71,-34.08,19.61,,
-60.79,-8.79,-33,19.06,,
-59.69,-9.06,-31.74,18.65,,
-57.89,-9.5,-29.92,18.36,,
-56.29,-9.62,-27.28,18.14,,
-54.04,-9.67,-23.67,18.06,,
-50.94,-9.71,-19.41,18.32,,
-44.51,-9.53,-14.6,19.05,,
-39.51,-9.08,-9.5,19.98,,
-34.31,-8.39,-4.64,20.88,,
-28.77,-7.48,-0.26,21.55,,
-21.55,-6.2,3.6,21.98,,
-17.35,-5.49,7.04,22.23,,
-13.52,-4.95,9.97,22.41,,
-10.16,-4.58,12.36,22.53,,
-7.33,-4.29,14.56,22.56,,
-3.86,-4.01,16.87,22.51,,
-1.49,-3.91,19.12,22.35,,
0.96,-3.92,21.14,22.13,,
3.27,-4.03,23.01,21.95,,
6.41,-4.27,24.76,21.87,,
8.27,-4.31,26.57,21.79,,
10.13,-4.28,28.43,21.69,,
13.05,-4.29,30.28,21.55,,
15.04,-4.32,32.14,21.42,,
17.02,-4.37,33.99,21.3,,
19.01,-4.4,35.7,21.2,,
