ROLL_BAD,PITCH_BAD,ROLL_FILTERED,PITCH_FILTERED
19.75,-25.17,25.91,15.63
28.61,-25.77,30.26,13.92
33.92,-25.69,34.39,12.02
39.43,-25.67,38.45,10.29
47.28,-25.66,42.8,8.88
52.54,-25.47,46.38,7.84
57.55,-25.22,48.13,7.12
61.21,-24.91,48.1,6.85
62.66,-24.6,46.76,7.09
61.66,-23.66,43.56,8.03
59.3,-22.85,38.91,9.78
54.92,-22.02,32.95,12.49
49.17,-21.01,26.35,15.98
37.99,-17.86,19.89,20.14
30.5,-14.63,13.22,24.59
23.52,-10.78,6.68,29.12
16.5,-6.61,1.02,33.78
7.13,0.07,-3.76,38.35
2.2,4.87,-8.28,42.56
-2.2,9.66,-13.23,46.06
-6.52,13.75,-18.6,48.98
-11.86,17.27,-24.2,51.75
-20.69,21.5,-30.38,54.52
-26.97,24.14,-37.17,57.24
-34.15,26.75,-43.7,59.95
-42,29.04,-49.54,62.83
-53.41,32.25,-54.45,65.84
-60.73,34.13,-58.56,68.68
-67.45,35.22,-62.18,70.92
-73.44,35.51,-65.49,72.52
-81.3,34.83,-67.59,73.57
-85.67,33.82,-67.79,74.36
-88.14,32.38,-66.21,74.73
-88.38,30.55,-63.56,74.77
-85.67,27.41,-60.52,74.52
-82.86,25.4,-57.27,73.94
-79.8,23.52,-53.39,72.99
-74.63,20.9,-49.09,71.5
-70.13,19.16,-44.95,69.61
-65.44,17.44,-40.26,67.39
-61.05,15.63,-34.42,64.62
-55.7,13.45,-27.63,61.2
-45.73,8.95,-20.1,57.28
-38.61,5.29,-11.84,52.87
-30.5,0.95,-3.6,48.2
-22.18,-3.46,3.84,43.75
-9.92,-10.19,10.33,40.05
-2.79,-14.08,15.88,36.83
3.33,-17.19,20.76,33.91
8.78,-20.01,25.45,31.13
13.62,-22.6,29.73,28.64
18.46,-25.2,33.37,26.5
24.74,-28.74,36.83,24.62
28.06,-30.88,40.43,23.05
31.32,-32.81,44.48,21.82
36.83,-35.2,49.37,20.94
41.4,-36.42,55.12,20.05
46.76,-37.36,61.5,18.94
53.16,-38.19,67.99,18.04
60.45,-38.7,73.52,17.63
71.08,-38,76.34,17.59
76.11,-36.35,76.79,18
78.02,-33.92,76.97,19.24
77.31,-29.07,77.92,21.35
77.28,-25.45,77.92,23.89
77.43,-21.48,76.39,26.94
76.18,-17.33,73.67,30.59
73.44,-12.72,70.25,34.79
69.82,-7.59,67,39.3
63.95,0.99,64.44,43.87
61.05,6.71,62.06,48.32
58.96,12.48,59.42,52.65
56.06,21.02,56.16,56.84
53.73,26.69,52.07,60.93
50.84,32.03,47.22,64.87
47.08,37.14,42.37,68.77
42.43,42.3,37.75,72.36
35.52,49.66,32.76,75.53
32.82,52.14,27.69,78.21
21.8,58.76,23.05,80.1
11.72,62.15,18.42,81.27
-0.93,64.28,13.73,81.52
-14.69,64.7,9.35,80.95
-34.3,61.83,5.52,79.68
-43.42,58.48,1.6,77.49
-49.57,54.67,-2.89,74.35
-53.91,50.59,-8.21,70.29
-57.57,46.23,-13.56,65.43
-63.21,38.79,-17.61,60.29
-66.22,33.49,-19.34,55.84
-68.17,27.46,-17.98,52.61
-68.33,21.76,-13.55,50.3
-63.73,14.22,-6.98,48.48
-57.74,10.26,-0.6,46.39
-50.53,6.76,4.67,43.84
-44.19,3.59,10.14,41.32
-36.56,-0.72,16.47,38.92
-33.54,-2.1,22.93,36.55
-23.49,-5.74,29.05,34.28
-17.01,-7.89,35.17,31.71
-10.49,-10.17,41.14,28.94
-3.92,-12.75,46.93,26.37
5.99,-16.52,50.86,24.04
11.86,-18.46,54.46,21.36
15.87,-20.28,57.2,18.13
19.96,-22.63,58.83,14.56
24.74,-26.9,58.5,10.77
26.52,-30.18,56.81,6.83
26.25,-33.83,54.53,3.14
23.77,-39.47,51.8,-0.2
21.07,-43.16,48.26,-3.28
17.19,-46.72,43.99,-5.98
11.51,-50.04,39.47,-8.03
4.16,-52.64,35.11,-9.17
-4.47,-54.19,30.62,-9.38
-17.9,-53.8,25.65,-8.95
-27.42,-51.64,20.31,-8
-36.32,-48.33,14.88,-6.65
-48.01,-41.54,9.42,-5.03
-54.79,-35.8,3.96,-3.55
-61.08,-29.11,-1.41,-2.28
-66.73,-22.29,-6.81,-1.13
-71.86,-15.47,-11.85,-0.06
-76.79,-8.7,-15.93,0.75
-82.96,0.67,-18.73,1.45
-85.86,6.34,-20.17,2.2
-87.69,11.56,-20.3,3.25
-88.3,16.15,-19.03,4.91
-87.37,21.75,-16.47,7.08
-85.64,24.44,-12.98,9.41
-83.08,26.26,-8.65,11.71
-79.96,27.26,-3.47,13.69
-76.19,27.62,2.4,15.27
-68.93,27.08,8.83,17.23
-63.29,26.54,15.83,19.42
-57.4,26.54,24.19,21.47
-47.57,26.53,33.81,23.16
-39.17,26.35,43.45,24.52
-29.73,26.2,53.09,25.62
-19.81,26.43,61.9,26.19
-10.26,26.93,69.47,25.94
2.27,27.07,76.1,24.84
9.76,26.2,81.94,23.49
16.49,24.75,86.59,22.24
22.6,23.15,90.49,20.81
29.73,20.66,94.61,18.96
34.38,18.24,98.63,16.72
39.25,15.16,102.13,14.02
43.74,11.51,104.89,10.86
47.52,7.36,105.99,7.11
51.31,0.7,104.94,2.84
51.63,-4.31,102.64,-1.49
50.14,-9.75,99.68,-5.58
48.07,-14.91,96.24,-9.39
45.59,-19.85,92.05,-12.98
40.7,-27.1,87.16,-16.13
36.28,-31.67,81.71,-18.51
30.78,-35.74,76.36,-20.01
23.84,-39.12,71.33,-20.69
13.35,-41.85,66.17,-20.62
6.11,-42.45,60.79,-19.85
-1.57,-42.08,55.34,-18.4
-9.87,-40.52,49.74,-16.2
-21.08,-36.24,43.84,-13.31
-28.22,-31.96,37.76,-9.91
-35.01,-26.7,32.05,-5.96
-41.24,-20.55,26.91,-1.61
-46.58,-13.51,22.45,2.85
-52.85,-2.42,18.96,6.99
-56.18,4.93,16.71,10.75
-58.58,11.97,16.03,14.35
-59.78,18.01,16.92,17.72
-59.5,25.69,19.45,20.52
-57.5,29.99,22.62,23.02
-54.5,32.87,26.68,25
-51.78,34.33,30.64,26.79
-47.85,35.74,35.32,28.49
-41.94,37.98,40.86,29.7
-37.19,39.14,46.81,30.42
-31.84,39.74,52.92,30.57
-23.12,39.68,59.35,30.18
-17.14,39.05,66.58,29.07
-10.83,37.98,74.56,27.24
-3.59,36.29,82.44,24.99
4.36,34.1,89.49,22.49
12.06,31.75,96.08,19.91
22.11,27.98,101.89,17.16
28.68,25.23,107.03,14.29
34.54,22.14,112.51,11.46
42.46,17.25,118.21,8.77
48.6,13.73,123.91,6.12
54.74,10.24,129.43,3.36
60.8,6.59,135.16,0.59
66.73,2.69,140.74,-1.89
73,-1.35,145.41,-4
82.02,-6.86,148.82,-5.95
86.67,-9.91,151.06,-7.9
90.57,-12.95,151.72,-9.77
93.49,-15.8,151.01,-11.38
95.24,-19.93,148.67,-12.71
94.93,-22.85,144.1,-13.76
92.95,-25.74,138,-14.3
88.69,-28.71,130.41,-14.39
79.26,-32.77,121.24,-14.18
70.36,-35.24,111.5,-13.91
59.94,-37.48,101.62,-13.54
43.23,-40.53,91.52,-13.04
30.62,-42.17,82.39,-12.2
17.38,-42.91,75.13,-10.78
5.77,-42.36,68.55,-8.89
-3.82,-40.52,61.94,-6.63
-16.79,-36.03,56.05,-4.29
-24.66,-32.14,50.72,-1.97
-31.3,-27.8,46.18,0.54
-36.68,-23.4,42.8,3.22
-41.09,-18.31,40.7,6.01
-44.75,-10.46,39.83,8.93
-45.58,-5.18,40.35,11.98
-45.31,-0.28,42.98,15.13
-43.47,4.4,47.31,18.23
-39.8,8.36,52.53,21.3
-31.67,13.03,56.95,24.57
-26.29,15.66,59.78,28.03
-22,18.75,61.98,31.44
-18.48,23.7,65.35,34.56
-16.12,26.88,70.57,37.36
-12.04,29.72,76.77,39.83
-6.02,32.32,82.84,41.72
0.38,34.59,88.86,42.86
8.9,37.05,95.42,43.35
14.39,38.01,102.4,43.27
20.83,38.53,109.4,42.42
27.46,38.55,116.07,40.61
34.36,37.77,122.19,38.05
43.66,34.82,127.78,35.28
48.92,32.3,132.56,32.37
53.88,29.61,137.04,29.21
58.1,26.62,141.62,26
62.17,23.24,145.84,22.97
68.65,18.03,148.92,19.97
72.52,14.26,151.08,16.94
75.35,10.04,152.66,13.91
77.47,5.72,153.59,10.8
80.15,-1.22,153.8,7.84
81.41,-5.87,153.43,5.23
82.19,-9.91,151.94,2.85
82.47,-15.43,148,0.56
80.88,-18.92,141.88,-1.68
76.78,-21.91,134.61,-3.52
70.98,-24.44,126.77,-4.72
60.44,-27.88,118.71,-5.16
52.45,-29.83,110.99,-5.04
43.81,-31.47,103.8,-4.42
35.36,-32.63,96.81,-3.35
27.15,-33.11,90.82,-1.77
18.95,-32.8,85.96,0.46
9.09,-30.67,81.53,3.18
3.66,-28.28,77.54,6.34
-1.52,-25.2,74.54,9.92
-5.78,-21.68,72.51,13.79
-9.77,-15.41,71.36,17.96
-11.07,-10.84,70.99,22.5
-11.4,-6.2,71,27.34
-10.93,-1.14,70.82,32.21
-9.91,6.49,70.29,37.03
-9.57,11.6,69.32,41.84
-9.55,16.75,67.61,46.36
-10.04,21.66,64.61,50.39
-11.59,26.35,60.37,54.16
-16.76,32.22,55.62,57.86
-21.94,36.03,50.82,61.43
-27.55,39.59,46.17,64.67
-33.57,42.71,41.63,67.51
-43.57,45.9,37.59,69.98
-50.7,46.87,34.52,72.04
-57.37,47.02,32.29,73.55
-62.49,46.53,30.23,74.35
-66.41,45.44,27.93,74.67
-71.02,43.15,25.42,74.48
-74.05,41.35,23.51,73.59
-76.57,39.11,23.38,72.26
-77.66,36.28,25.52,70.71
-76.42,33.27,29.29,68.97
-70.82,28.87,34.31,66.99
-65.72,26.01,40.63,64.84
-59.38,23.12,48.39,62.46
-52.12,20.51,57.14,59.8
-38.39,16.34,66.64,56.85
-28.6,13.39,76.19,53.91
-18.18,10.37,85.44,51.12
-7.8,7.63,94.43,48.45
6.52,3.92,103.4,45.89
16.12,1.34,111.89,43.48
25.73,-1.25,119.99,41.17
34.46,-3.72,128.02,38.98
47.44,-7.78,136.33,36.99
56.33,-10.6,145.41,35.2
65.69,-13.22,153.84,33.43
75.67,-15.6,160.44,31.76
84.94,-18.09,165.26,30.46
95.16,-21.44,168.65,29.76
100.16,-23.28,170.08,29.7
103.86,-24.88,168.57,30.11
105.13,-26.46,164.9,30.79
101.64,-28.58,159.22,31.68
96.72,-29.53,151.98,32.82
90.19,-29.9,143.53,34.4
81.69,-29.84,134.47,36.66
66.87,-29.22,124.62,39.55
56.56,-28.66,114.14,42.82
44.5,-27.72,103.68,46.23
31.7,-26.27,93.16,49.65
12.86,-22.44,82.93,52.6
1.17,-19.05,72.8,55.01
-9.34,-15.62,62.66,56.88
-19.59,-12.14,52.87,58.23
-29.69,-8.45,43.99,58.74
-43.32,-2.95,36.69,58.45
-51.1,0.21,31.4,57.93
-57.23,2.86,28.29,57.9
-62.45,6.01,27.19,58.62
-63.77,7.76,27.27,59.67
-63.6,9.17,27.7,60.78
-62.87,10.05,28.47,62.12
-61.69,10.89,30.08,63.83
-60.45,11.35,33.09,65.86
-58.24,11.7,37.64,68.11
-54.66,11.87,43.35,70.36
-47.32,11.54,50.35,72.44
-41.12,11.26,58.29,74.21
-33.72,11.08,66.41,75.6
-25.83,10.95,73.56,76.84
-18.04,11.07,79.65,78.03
-8.67,12.17,84.87,79.02
-3.44,13.25,89.72,79.9
1.31,14.41,95.07,80.65
5.9,15.69,101.69,81.16
11.37,16.95,108.36,81.12
21.47,18.64,114.08,80.03
27.79,18.99,118.73,77.94
33.05,18.15,123.41,75.2
37.59,16.12,128.69,72.35
42.67,13.29,135.27,69.6
51.94,8.61,142.7,67.11
55.93,6.86,150.7,65.03
68.39,1.66,159.85,63.65
77.4,-1.66,168.23,62.84
87.73,-4.93,174.3,62.51
100.14,-8.78,177.07,62.5
105.28,-10.4,176.07,62.78
107,-10.73,171.72,63.23
104.91,-10.14,165.41,63.92
99.92,-8.98,158.17,65.08
89.52,-6.04,151.65,67.07
82.42,-3.55,145.21,69.69
76.16,-0.74,137.99,72.13
66.9,4.23,130.41,74.27
59.49,7.84,122.96,76.66
52.1,11.6,115.8,79.93
45.01,15.81,108.78,84.43
38.28,20.83,102.34,90.17
28.6,30.33,96.31,96.84
22.87,37.62,90.61,104.01
16.96,45.66,85.9,111.25
11.09,53.5,82.59,118.27
2.83,64.96,80.24,124.74
-3.17,72.19,77.78,130.61
-13.83,78.42,74.83,135.51
-40.78,83.11,72.33,139.08
-110.74,83.46,70.79,141.1
-131.91,81.51,69.72,141.39
-141.62,80.31,69.08,139.93
-143.7,81.03,69.34,136.95
-134.75,82.86,70.12,132.7
-107.23,84.73,71.05,127.13
-58.86,84.05,71.51,120.37
-23.19,76.96,71.18,112.72
-15.54,69.95,70.37,104.69
-12.27,62.44,69.71,96.61
-10.54,50.86,69.7,88.83
-9.89,43.11,70.21,81.3
-9,35.63,71.06,73.9
-7.88,28.47,72.27,66.77
-6.66,21.44,74.26,59.81
-5.14,14.62,76.72,52.9
-2.73,7.95,78.95,46.28
1.56,-1.86,80.52,40.12
3.92,-7.93,81.16,34.43
5.51,-13.57,80.83,29.3
6.2,-21.14,79.82,24.73
5.53,-25.61,78.51,20.54
4.24,-29.77,77.03,16.47
2.56,-33.56,75.74,12.41
0.49,-37.36,74.96,8.56
-2.55,-42.85,74.57,5.23
-4.3,-46.09,74.14,2.6
-6.01,-48.76,73.95,0.96
-7.66,-50.78,73.92,0.59
-8.83,-51.89,73.79,1.79
-9.04,-51.06,73.46,4.59
-9.11,-48.77,73.26,8.83
-9.16,-45.03,73.29,14.45
-8.75,-39.99,73.5,21.19
-7.97,-33.78,73.77,28.52
-6.57,-22.86,74.27,35.94
-5.53,-15.37,74.96,43.16
-4.22,-7.74,75.43,50.03
-2.38,2.87,75.28,56.3
-1.71,9.6,74.52,62.33
-1.84,15.75,73.62,68.53
-2.59,22.02,72.84,75.08
-3.45,28.42,71.78,81.77
-4.36,35.16,69.93,88.38
-7.28,45.36,67.4,94.86
-10.95,51.72,64.64,101.2
-16.58,58.13,62.05,107.26
-29.16,66.4,59.5,112.73
-42.37,70.82,56.61,117.2
-59.59,73.36,53.71,120.32
-77.21,73.69,51.1,121.89
-94,71.37,48.8,122.01
-98.19,69.04,46.67,120.79
-98.46,66.52,44.82,118.36
-96.37,63.83,42.96,114.67
-90.68,59.29,41,109.61
-86,55.69,39.35,103.52
-81.16,51.59,38.28,96.76
-76.32,46.83,38.01,89.88
-71.68,41.61,38.72,83.64
-67.48,36.11,40.94,78.32
-61.53,28.4,45.17,74.09
-56.8,23.97,50.22,70.85
-50.76,19.99,54.36,67.59
-42.25,15.49,57.37,63.67
-37.95,12.42,60.69,59.18
-34.42,8.88,65.59,54.51
-30.16,4.92,71.77,49.8
-24.23,0.45,78.43,45.19
-13.85,-6.61,85.18,41.04
-6.29,-11.16,92.08,37.42
1.08,-14.83,98.72,34.2
9.07,-18.03,104.54,31.23
19.74,-21.98,109.25,28.24
25.93,-24.56,113.07,25.37
31.02,-27.4,115.19,22.96
34.89,-30.36,114.5,21.03
36.06,-35.28,111.38,19.4
32.28,-38.93,107.29,17.84
25.84,-42.38,103.44,16.5
17.98,-45.42,99.93,15.71
6.39,-48.01,96.4,15.55
-1.8,-48.2,92.8,15.77
-9.74,-47.26,89.41,16.31
-16.78,-45.58,86.32,17.12
-23.21,-43.14,83.71,18.41
-30.95,-38.34,81.48,20.51
-34.58,-34.26,79.62,23.36
-37.23,-29.38,78.06,26.74
-38.82,-24.21,76.57,30.6
-40.24,-15.9,75.27,34.78
-40.85,-10.31,74.26,39
-41.22,-4.84,74.04,43.25
-41.28,0.07,75.04,47.51
-40.07,6.35,76.93,51.87
-38.15,10.07,79.19,56.36
-35.82,13.7,81.25,60.89
-33.78,17.08,82.72,65.2
-32.1,21.83,83.93,68.98
-32.2,24.14,85.44,72.1
-32.59,25.77,87.23,74.59
-32.75,26.59,89.39,76.35
-32.38,26.6,92.21,77.55
-31.37,26.12,95.73,78.38
-29.48,25.52,100.19,78.79
-24.96,24.68,106.08,78.21
-20.18,23.88,113.13,76.68
-13.67,22.38,121.33,75.11
-5.99,20.57,130.42,73.63
2.9,19.18,139.1,71.59
